
============================================================
  🤖 Telegram Alert Bot Started
============================================================
  Asset: BTC/USD
  Interval: 15s
  Spread threshold: 0.2%
  Change alert: 2.0% in 5min
  Cooldown: 300s
  Status updates: Every 30s
============================================================
  Press Ctrl+C to stop
============================================================

  [20:59:22] $87,518.00 | Spread: 0.142% | Alerts: 2
  [20:59:39] $87,504.68 | Spread: 0.138% | Alerts: 2 📤
  [20:59:56] $87,480.93 | Spread: 0.139% | Alerts: 2
  [21:00:12] $87,474.30 | Spread: 0.154% | Alerts: 2 📤
  [21:00:29] $87,472.40 | Spread: 0.186% | Alerts: 2
  [21:00:46] $87,453.47 | Spread: 0.171% | Alerts: 2 📤
  [21:01:03] $87,436.63 | Spread: 0.168% | Alerts: 2
  [21:01:19] $87,437.99 | Spread: 0.165% | Alerts: 2 📤
  [21:01:36] $87,447.54 | Spread: 0.196% | Alerts: 2
  [21:01:53] $87,440.54 | Spread: 0.180% | Alerts: 2 📤
  [21:02:09] $87,439.11 | Spread: 0.176% | Alerts: 2
  [21:02:26] $87,441.22 | Spread: 0.181% | Alerts: 2 📤
  [21:02:43] $87,458.36 | Spread: 0.188% | Alerts: 2
  [21:02:59] $87,466.25 | Spread: 0.174% | Alerts: 2 📤
  [21:03:16] $87,456.60 | Spread: 0.188% | Alerts: 2
  [21:03:33] $87,455.57 | Spread: 0.185% | Alerts: 2 📤
  [21:03:50] $87,450.54 | Spread: 0.161% | Alerts: 2
  [21:04:06] $87,438.14 | Spread: 0.176% | Alerts: 2 📤
  [21:04:23] $87,439.12 | Spread: 0.194% | Alerts: 2
  [21:04:40] $87,440.91 | Spread: 0.173% | Alerts: 2 📤
  [21:04:57] $87,426.55 | Spread: 0.154% | Alerts: 2
  [21:05:13] $87,430.52 | Spread: 0.194% | Alerts: 2 📤
  [21:05:30] $87,428.67 | Spread: 0.149% | Alerts: 2
  [21:05:46] $87,412.00 | Spread: 0.156% | Alerts: 2 📤
  [21:06:03] $87,396.66 | Spread: 0.166% | Alerts: 2
  [21:06:20] $87,402.34 | Spread: 0.162% | Alerts: 2 📤
  [21:06:37] $87,391.47 | Spread: 0.159% | Alerts: 2
  [21:06:53] $87,392.83 | Spread: 0.183% | Alerts: 2 📤
  [21:07:10] $87,383.55 | Spread: 0.152% | Alerts: 2
  [21:07:27] $87,381.79 | Spread: 0.176% | Alerts: 2 📤
  [21:07:44] $87,385.15 | Spread: 0.184% | Alerts: 2
  [21:08:00] $87,385.15 | Spread: 0.184% | Alerts: 2 📤
  [21:08:17] $87,371.66 | Spread: 0.158% | Alerts: 2
  [21:08:34] $87,382.45 | Spread: 0.180% | Alerts: 2 📤
  [21:08:51] $87,384.79 | Spread: 0.193% | Alerts: 2
  [21:09:07] $87,391.18 | Spread: 0.178% | Alerts: 2 📤
  [21:09:24] $87,372.63 | Spread: 0.166% | Alerts: 2
  [21:09:40] $87,390.93 | Spread: 0.172% | Alerts: 2 📤
  [21:09:57] $87,384.76 | Spread: 0.180% | Alerts: 2
  [21:10:14] $87,385.46 | Spread: 0.173% | Alerts: 2 📤
  [21:10:31] $87,356.00 | Spread: 0.127% | Alerts: 2
  [21:10:47] $87,352.79 | Spread: 0.169% | Alerts: 2 📤
  [21:11:04] $87,353.43 | Spread: 0.172% | Alerts: 2
  [21:11:20] $87,365.55 | Spread: 0.191% | Alerts: 2 📤
  [21:11:37] $87,369.53 | Spread: 0.194% | Alerts: 2
  [21:11:53] $87,383.07 | Spread: 0.163% | Alerts: 2 📤
  [21:12:10] $87,386.90 | Spread: 0.171% | Alerts: 2
  [21:12:26] $87,393.91 | Spread: 0.187% | Alerts: 2 📤
  [21:12:43] $87,367.72 | Spread: 0.173% | Alerts: 2
  [21:13:00] $87,381.00 | Spread: 0.158% | Alerts: 2 📤
  [21:13:17] $87,377.02 | Spread: 0.187% | Alerts: 2
  [21:13:33] $87,389.60 | Spread: 0.191% | Alerts: 2 📤
  [21:13:50] $87,378.49 | Spread: 0.195% | Alerts: 2
  [21:14:07] $87,404.31 | Spread: 0.170% | Alerts: 2 📤
  [21:14:24] $87,414.66 | Spread: 0.195% | Alerts: 2
  [21:14:40] $87,436.09 | Spread: 0.184% | Alerts: 2 📤
  [21:14:57] $87,421.29 | Spread: 0.239% | Alerts: 2  📊 Spread alert sent! (0.239%)
  [21:15:14] $87,467.27 | Spread: 0.172% | Alerts: 3 📤
  [21:15:31] $87,473.09 | Spread: 0.164% | Alerts: 3
  [21:15:48] $87,472.77 | Spread: 0.180% | Alerts: 3 📤
  [21:16:05] $87,430.15 | Spread: 0.193% | Alerts: 3
  [21:16:22] $87,450.58 | Spread: 0.165% | Alerts: 3 📤
  [21:16:38] $87,448.03 | Spread: 0.202% | Alerts: 3
  [21:16:55] $87,444.25 | Spread: 0.193% | Alerts: 3 📤
  [21:17:12] $87,444.55 | Spread: 0.171% | Alerts: 3
  [21:17:28] $87,448.49 | Spread: 0.201% | Alerts: 3 📤
  [21:17:45] $87,457.98 | Spread: 0.180% | Alerts: 3
  [21:18:02] $87,453.83 | Spread: 0.155% | Alerts: 3 📤
  [21:18:18] $87,425.60 | Spread: 0.171% | Alerts: 3
  [21:18:35] $87,441.71 | Spread: 0.201% | Alerts: 3 📤
  [21:18:52] $87,441.71 | Spread: 0.201% | Alerts: 3
  [21:19:08] $87,450.58 | Spread: 0.175% | Alerts: 3 📤
  [21:19:25] $87,448.23 | Spread: 0.180% | Alerts: 3
  [21:19:41] $87,423.74 | Spread: 0.154% | Alerts: 3 📤
  [21:19:58] $87,422.91 | Spread: 0.149% | Alerts: 3
